icao,manufacturer,model,registration,engine_type,num_engines,latitude,longitude,capture_date,capture_time,year,month,day,near_airport
PZ4M,P Z L -Warszawa-Cnpsl,PZL-104 WILGA 35A,N113AS,Piston,1,40.826046,-73.982697,2025-03-22,17:37:13,2025,3,22,KTEB
C150,Cessna,150L,N11839,Piston,1,41.911377,-87.850551,2025-03-22,17:50:06,2025,3,22,KORD
C120,Cessna,120,N120RW,Piston,1,25.81542,-80.165073,2025-03-22,19:01:32,2025,3,22,KMIA
C172,Cessna,172S,N1200V,Piston,1,30.04489,-95.387004,2025-03-23,08:09:58,2025,3,23,KIAH
SPOR,Quicksilver Enterprises Inc,SPORT,N120WS,Rocket,1,26.134185,-80.116926,2025-03-23,10:26:59,2025,3,23,KFLL
M20P,Mooney,M20J,N1155Y,Piston,1,34.04879,-118.454479,2025-03-23,10:27:13,2025,3,23,KLAX
C208,Cessna,208B,N1128L,Turboprop,1,32.97737,-96.751928,2025-03-24,09:33:45,2025,3,24,KADS
C310,Cessna,310I,N1011S,Piston,2,33.568104,-84.282986,2025-03-24,10:39:59,2025,3,24,KATL
RV10,Joseph F Salomone,RV-10,N105VL,Piston,1,44.783361,-93.216394,2025-03-24,12:20:48,2025,3,24,KMSP
E35L,Cessna,550,N111AF,Turbofan,2,42.049607,-87.797948,2025-03-24,16:18:18,2025,3,24,KORD
S22T,Cirrus Design Corp,SR22,N11CT,Piston,1,44.980185,-93.348162,2025-03-25,07:32:57,2025,3,25,KMSP
FA7X,Dassault Aviation,FALCON 7X,N114BD,Turbofan,3,40.814167,-74.19716,2025-03-25,16:03:21,2025,3,25,KTEB
RV6,Stark Kenneth A,VANS RV-6,N106KS,Piston,1,40.592983,-74.051844,2025-03-25,18:36:35,2025,3,25,KEWR
E135,Embraer-Empresa Brasileira De,ERJ 170-200 LR,N121HQ,Turbofan,2,40.756278,-111.992332,2025-03-25,20:49:34,2025,3,25,KSLC
FA20,Dassault Aviation,FALCON 2000EX,N115AN,Turbofan,2,39.706509,-104.712416,2025-03-25,22:13:47,2025,3,25,KAPA
DR1,Childers M L/Combs P T,FOKKER DR 1,N113PC,Piston,1,32.969308,-96.847872,2025-03-26,12:24:41,2025,3,26,KADS
AC68,Mario R Maccarone,JA30 SUPER STOL,N106GS,Piston,1,32.725373,-117.120929,2025-03-26,22:37:22,2025,3,26,KSAN
B206,Bell Helicopter Textron,206L-1,N10814,Turboshaft,1,42.413975,-71.004427,2025-03-27,08:43:17,2025,3,27,KBOS
PA18,Piper,PA-18-150,N115NS,Piston,1,40.970296,-73.684135,2025-03-27,19:37:43,2025,3,27,KHPN
RV4,Ourada Don A,RV-4,N105RV,Piston,1,40.828614,-73.964043,2025-03-29,10:01:56,2025,3,29,KTEB
C180,Cessna,180,N111WF,Piston,1,40.792308,-74.193309,2025-03-29,14:48:30,2025,3,29,KEWR
DHC2,Dehavilland,DHC-2 MK. I(L20A),N101CB,Piston,1,40.80195,-111.891205,2025-03-30,10:08:08,2025,3,30,KSLC
PA32,Piper,PA-32-300,N1029X,Piston,1,34.017975,-118.373034,2025-03-30,15:50:47,2025,3,30,KLAX
C150,Cessna,150K,N1136M,Piston,1,33.709341,-84.363173,2025-03-30,21:41:50,2025,3,30,KATL
CL30,U-Fly-It Lsa,CHALLENGER II,N103B,Rocket,1,33.783333,-84.318804,2025-03-31,11:38:03,2025,3,31,KPDK
P750,Pacific Aerospace Corp Ltd,750XL,N100JF,Turboprop,1,33.996875,-118.458816,2025-03-31,13:27:13,2025,3,31,KLAX
AC68,Ted E Seeley,SUPER CUB,N113MX,2-Cycle,1,40.873303,-74.051069,2025-03-31,15:15:05,2025,3,31,KTEB
M20P,Mooney Aircraft Corp.,M20K,N1016U,Piston,1,33.986165,-84.352956,2025-03-31,15:59:27,2025,3,31,KPDK
BR23,Brm Aero Sro,BRISTELL S-LSA,N1228A,2-Cycle,1,30.069658,-95.263731,2025-04-02,12:09:53,2025,4,2,KIAH
PA23,Piper,PA-23,N1220B,Piston,2,42.408132,-71.07659,2025-04-02,13:25:32,2025,4,2,KBOS
PC12,Pilatus,PC-12/45,N118AP,Turboprop,1,39.772269,-104.626608,2025-04-02,16:13:44,2025,4,2,KDEN
CC11,Schwenk J/Schwenk D,DAYTONA CUB,N116AJ,Piston,1,33.921523,-118.434806,2025-04-02,20:26:32,2025,4,2,KLAX
RC70,Rockwell International,114,N114MD,Piston,1,33.636253,-111.789757,2025-04-03,08:43:45,2025,4,3,KSDL
BE36,Beech,A36,N1021W,Piston,1,42.116093,-87.838869,2025-04-03,09:17:16,2025,4,3,KPWK
C172,Cessna,172R,N103FV,Piston,1,40.776053,-73.33021,2025-04-03,11:43:01,2025,4,3,KFRG
C150,Cessna,150L,N11272,Piston,1,44.84577,-93.230938,2025-04-03,21:27:04,2025,4,3,KMSP
C172,Cessna,172S,N1090J,Piston,1,42.065667,-87.828941,2025-04-04,08:21:09,2025,4,4,KPWK
E135,Embraer-Empresa Brasileira De,ERJ 170-200 LR,N120HQ,Turbofan,2,40.663509,-73.651531,2025-04-04,11:48:04,2025,4,4,KJFK
PA18,Piper,PA-18-150,N10PC,Piston,1,34.272137,-118.518761,2025-04-04,12:06:58,2025,4,4,KVNY
C150,Cessna,150L,N11527,Piston,1,25.647146,-80.178399,2025-04-04,19:54:57,2025,4,4,KMIA
C172,Cessna,172M,N119P,2-Cycle,1,44.100223,-88.437838,2025-04-05,08:08:16,2025,4,5,KOSH
RV4,Mussen Gary L,RV-4,N107RV,Piston,1,33.428445,-112.011551,2025-04-05,09:44:30,2025,4,5,KPHX
BE35,Beech,V35B,N1102W,Piston,1,33.691961,-84.484186,2025-04-05,10:16:49,2025,4,5,KATL
M20P,Mooney,M20J,N1146P,Piston,1,33.684333,-84.285456,2025-04-05,14:18:35,2025,4,5,KATL
C172,Cessna,R172K,N1055V,Piston,1,44.945842,-93.155568,2025-04-06,07:21:59,2025,4,6,KMSP
TL20,Tl Ultralight Sro,STINGSPORT,N120AV,2-Cycle,1,44.900065,-93.154536,2025-04-06,13:44:32,2025,4,6,KMSP
M20P,Mooney,M20J,N110TF,Piston,1,40.744163,-111.908368,2025-04-07,06:06:58,2025,4,7,KSLC
C172,Cessna,172G,N1160F,Piston,1,40.593331,-73.491467,2025-04-07,06:53:15,2025,4,7,KFRG
RV7,Paup Dennis C,VANS RV-7,N116DP,Piston,1,28.404118,-81.191105,2025-04-07,17:34:04,2025,4,7,KMCO
C414,Cessna,414,N1203G,Piston,2,33.662663,-111.977811,2025-04-07,20:08:58,2025,4,7,KSDL
C172,Cessna,172S,N1090W,Piston,1,40.499722,-73.805624,2025-04-08,11:51:54,2025,4,8,KJFK
LNC4,Neely Milton J,LANCAIR LEGACY 2000,N103HM,Piston,1,25.927618,-80.215137,2025-04-08,22:48:53,2025,4,8,KFLL
RC70,Rockwell International,114,N114EE,Piston,1,25.968116,-80.182382,2025-04-09,16:04:38,2025,4,9,KFLL
PA18,Piper,PA-18,N1209A,Piston,1,33.872728,-118.530375,2025-04-09,18:11:37,2025,4,9,KLAX
C172,Cessna,172,N10BF,Piston,1,33.86226,-84.249407,2025-04-10,19:09:07,2025,4,10,KPDK
EAGX,Winship Thomas W,VANS AIRCRAFT RV-4,N121PF,Piston,1,25.853044,-80.308402,2025-04-11,07:40:11,2025,4,11,KMIA
BE35,Beech,V35A,N11KS,Piston,1,42.227397,-87.953737,2025-04-12,11:07:22,2025,4,12,KPWK
PA28,Piper,PA-28-161,N1140Q,Piston,1,40.002875,-104.545695,2025-04-12,11:31:01,2025,4,12,KDEN
C150,Cessna,150L,N10903,Piston,1,39.529906,-104.722928,2025-04-12,22:42:57,2025,4,12,KAPA
C182,Cessna,182T,N1142U,Piston,1,34.196356,-118.434843,2025-04-13,08:36:03,2025,4,13,KVNY
BE35,Beech,V35A,N11VB,Piston,1,33.550305,-84.449871,2025-04-13,10:02:14,2025,4,13,KATL
E135,Embraer Empresa Brasileira De,ERJ 190-100 IGW,N120BZ,Turbofan,2,32.911414,-96.734237,2025-04-14,11:14:29,2025,4,14,KADS
PISI,Pipistrel Lsa Srl,SINUS,N100NH,2-Cycle,1,33.795136,-118.301568,2025-04-14,15:03:42,2025,4,14,KLAX
C150,Cessna,150L,N11331,Piston,1,33.728633,-84.32918,2025-04-14,21:43:34,2025,4,14,KPDK
F900,Dassault Aviation,FALCON 900EX,N10M,Turbofan,3,33.807546,-118.436716,2025-04-15,13:54:10,2025,4,15,KLAX
PA46,Piper,PA 46-350P,N115DW,Turboprop,1,47.594606,-122.186034,2025-04-15,17:05:29,2025,4,15,KSEA
GLSP,Br Legend Llc,SPORTSMAN GS-2,N121PK,Piston,1,25.649403,-80.243338,2025-04-15,19:31:40,2025,4,15,KMIA
C404,Dowler Jess A,TITAN TORNADO II,N1143H,Piston,1,40.905204,-74.106871,2025-04-16,09:46:41,2025,4,16,KTEB
PA23,Piper,PA-23-250,N111MY,Piston,2,44.741904,-93.16363,2025-04-16,20:03:08,2025,4,16,KMSP
C17,Wolff Albert J,KOLB MK III CLASSIC,N11582,Rocket,1,40.679694,-73.727128,2025-04-16,22:15:18,2025,4,16,KJFK
SR22,Cirrus Design Corp,SR22T,N112PJ,Piston,1,47.477651,-122.176129,2025-04-17,08:49:31,2025,4,17,KSEA
C172,Cessna,172G,N1159F,Piston,1,36.036589,-115.078669,2025-04-17,10:57:32,2025,4,17,KLAS
GB1,Game Composites Llc,GB1 GAMEBIRD,N111MP,Piston,1,41.91861,-87.832207,2025-04-17,16:27:04,2025,4,17,KORD
BE35,Beech,V35B,N102JM,Piston,1,41.061702,-73.64776,2025-04-17,17:18:59,2025,4,17,KHPN
B763,Boeing,767-36N,N1093A,Turbofan,2,33.813607,-118.29729,2025-04-17,17:26:03,2025,4,17,KLAX
RV10,Versteegh Jerry J,RV-10,N110JV,Piston,1,32.807544,-117.045345,2025-04-17,17:59:16,2025,4,17,KSAN
PC12,Pilatus Aircraft Ltd,PC-12/47E,N1150N,Turboprop,1,39.484796,-104.8037,2025-04-17,18:47:18,2025,4,17,KAPA
M20P,Mooney,M20J,N1151V,Piston,1,40.633801,-73.509727,2025-04-18,07:50:22,2025,4,18,KFRG
C206,Cessna,206H,N10CX,Piston,1,33.729379,-111.956137,2025-04-18,10:14:44,2025,4,18,KSDL
M20P,Mooney,M20R,N1026A,Piston,1,35.975918,-115.249064,2025-04-18,12:21:46,2025,4,18,KLAS
PA46,Piper,PA46-500TP,N118JV,Turboprop,1,42.412518,-71.100545,2025-04-18,13:16:36,2025,4,18,KBOS
PA32,Piper,PA-32-300,N1069X,Piston,1,42.264589,-70.87928,2025-04-19,07:10:41,2025,4,19,KBOS
C21T,Cessna,421B,N104WM,Piston,2,26.166401,-80.070751,2025-04-19,08:33:22,2025,4,19,KFLL
S22T,Cirrus Design Corp,SR22,N121PW,Piston,1,43.938471,-88.535747,2025-04-19,16:22:09,2025,4,19,KOSH
B505,Bell Helicopter Textron Canada,505,N1088Y,Turboshaft,1,40.641822,-112.060405,2025-04-20,06:53:37,2025,4,20,KSLC
C172,Cessna,172M,N12138,2-Cycle,1,41.980097,-87.845304,2025-04-20,12:07:52,2025,4,20,KORD
C182,Cessna Aircraft Co,J182T,N101CS,2-Cycle,1,33.621374,-111.825108,2025-04-20,15:10:20,2025,4,20,KSDL
SR22,Cirrus Design Corp,SR22T,N1219S,Piston,1,34.170249,-118.410702,2025-04-21,17:05:17,2025,4,21,KVNY
SR20,Cirrus Design Corp,SR20,N1108T,Piston,1,41.993255,-87.826999,2025-04-21,22:08:18,2025,4,21,KORD
DH83,Warren Hahne,KIT FOX IV,N102ZW,Rocket,1,32.907074,-97.016944,2025-04-22,16:38:10,2025,4,22,KDFW
S22T,Cirrus Design Corp,SR22,N121RB,Piston,1,42.01263,-88.036123,2025-04-23,10:26:06,2025,4,23,KORD
SR22,Cirrus Design Corp,SR22T,N117CK,Piston,1,41.988095,-87.778566,2025-04-24,06:27:55,2025,4,24,KPWK
C172,Cessna,172N,N1226F,Piston,1,41.039403,-73.649321,2025-04-24,17:19:53,2025,4,24,KHPN
PA32,Piper,PA-32R-301,N101W,Piston,1,25.894691,-80.365775,2025-04-24,22:54:34,2025,4,24,KMIA
DHC2,Dehavilland,BEAVER DHC-2,N1018D,Piston,1,40.812598,-74.034441,2025-04-25,06:58:06,2025,4,25,KTEB
M20P,Mooney,M20E,N1210X,Piston,1,40.770059,-112.086356,2025-04-25,11:20:23,2025,4,25,KSLC
AAT4,Cessna,560,N105BG,Turbofan,2,40.689698,-111.927961,2025-04-25,13:18:14,2025,4,25,KSLC
RV8,Davis John Ray,RV-8,N114A,Piston,1,32.917195,-96.934046,2025-04-25,13:27:14,2025,4,25,KADS
C150,Cessna,150L,N10487,Piston,1,33.683265,-84.500147,2025-04-25,16:25:45,2025,4,25,KATL
C172,Cessna,172G,N1114F,Piston,1,32.858954,-96.689799,2025-04-25,17:53:00,2025,4,25,KADS
M20P,Mooney,M20C,N1204X,Piston,1,42.024792,-87.936509,2025-04-25,17:53:27,2025,4,25,KORD
SREY,Chuck Cavanaugh,SEAREY LSX,N1080,Piston,1,42.23434,-83.249924,2025-04-25,19:10:12,2025,4,25,KDTW
C150,Cessna,150B,N1169Y,Piston,1,39.671953,-104.753866,2025-04-25,20:04:27,2025,4,25,KAPA
C185,Cessna,A185E,N113LC,Piston,1,44.925206,-93.346293,2025-04-26,09:17:55,2025,4,26,KMSP
PA32,Piper,PA-32RT-300,N110WR,Piston,1,26.161311,-80.061642,2025-04-26,13:05:48,2025,4,26,KFLL
BE58,Beech,58TC,N105RK,Piston,2,25.754224,-80.365283,2025-04-26,22:58:43,2025,4,26,KMIA
SR22,Cirrus Design Corp,SR22T,N10VT,Piston,1,42.050347,-87.776224,2025-04-27,11:28:16,2025,4,27,KORD
FA10,Dassault-Breguet,FALCON 10,N100CU,Turbofan,2,28.417975,-81.299051,2025-04-27,19:01:30,2025,4,27,KMCO
FA20,Dassault Aviation,FALCON 2000,N114EM,Turbofan,2,33.721792,-84.456399,2025-04-28,08:38:29,2025,4,28,KATL
C185,Cessna,A185F,N1211F,Piston,1,44.081411,-88.542362,2025-04-28,20:07:31,2025,4,28,KOSH
M20P,Mooney,M20J,N121SK,Piston,1,33.587334,-112.006759,2025-04-29,06:59:43,2025,4,29,KSDL
C172,Cessna,172L,N1152M,Piston,1,32.69626,-117.30684,2025-04-29,09:06:30,2025,4,29,KSAN
C150,Cessna,150L,N10651,Piston,1,44.110798,-88.657237,2025-04-29,09:27:40,2025,4,29,KOSH
GLF5,Gulfstream Aerospace,GV-SP (G550),N111,Turbofan,2,42.137129,-87.85127,2025-04-29,10:03:54,2025,4,29,KPWK
C140,Cessna,140A,N10534,Piston,1,33.645901,-111.968704,2025-04-29,15:25:19,2025,4,29,KSDL
C150,Cessna,150L,N11396,Piston,1,33.354476,-111.912707,2025-04-30,13:38:02,2025,4,30,KPHX
VELO,Dooley James H,VELOCITY,N107JD,Piston,1,42.08056,-83.307403,2025-04-30,15:54:14,2025,4,30,KDTW
PA18,Piper,PA-18,N1066A,Piston,1,32.734268,-117.202722,2025-04-30,17:12:54,2025,4,30,KSAN
C150,Cessna,150L,N10859,Piston,1,32.82375,-97.116063,2025-05-01,08:40:42,2025,5,1,KDFW
E45X,Embraer,EMB-145XR,N11192,Turbofan,2,44.978654,-93.122488,2025-05-01,10:43:08,2025,5,1,KMSP
CH65,Nelson Robert E,ZODIAC CH 601 HD,N102BE,Piston,1,33.695197,-112.043962,2025-05-01,21:12:49,2025,5,1,KSDL
M20P,Mooney,M20C,N1208X,Piston,1,32.982071,-96.811683,2025-05-02,21:20:04,2025,5,2,KADS
M20P,Mooney,M20E,N1217X,Piston,1,39.706419,-104.6478,2025-05-03,06:49:09,2025,5,3,KDEN
C208,Cessna,208B,N119RF,Turboprop,1,47.480427,-122.185031,2025-05-03,07:03:21,2025,5,3,KSEA
PA46,Piper,PA 46-350P,N119WK,Piston,1,40.76254,-73.366272,2025-05-03,08:03:10,2025,5,3,KFRG
C150,Cessna,150L,N11186,Piston,1,28.561675,-81.37274,2025-05-04,11:06:06,2025,5,4,KMCO
DHC2,Dehavilland,DHC-2,N117BB,Piston,1,29.88823,-95.221647,2025-05-04,14:47:45,2025,5,4,KIAH
M20P,Mooney,M20R,N1026F,Piston,1,41.982661,-87.82638,2025-05-04,16:09:07,2025,5,4,KORD
PA34,Piper,PA-34-200,N1078U,Piston,2,33.807646,-118.444976,2025-05-04,20:19:32,2025,5,4,KLAX
PA18,Piper,PA-44-180T,N103BM,Piston,2,33.478148,-112.084361,2025-05-04,21:30:29,2025,5,4,KPHX
PA18,Piper,PA-18A,N118EM,Piston,1,42.335768,-70.96077,2025-05-05,08:52:18,2025,5,5,KBOS
PA18,Piper,PA-18,N118DK,Piston,1,42.094344,-88.035242,2025-05-05,12:14:26,2025,5,5,KORD
C210,Cessna,210J,N119MS,Piston,1,37.671378,-122.323544,2025-05-05,15:34:05,2025,5,5,KSFO
BE50,Burkhart Grob,G103C TWIN III ACRO,N103BP,None,0,42.140676,-83.385681,2025-05-06,13:03:31,2025,5,6,KDTW
C150,Cessna,150L,N10820,Piston,1,33.711169,-84.388588,2025-05-06,15:02:19,2025,5,6,KATL
A321,Airbus,A321-231,N119NN,Turbofan,2,28.377056,-81.34429,2025-05-06,16:19:50,2025,5,6,KMCO
M20P,Mooney Aircraft Corp.,M20K,N1163A,Piston,1,42.255209,-87.965607,2025-05-06,17:19:55,2025,5,6,KPWK
PISI,Pipistrel,SINUS 912,N110EV,2-Cycle,1,39.967126,-104.807731,2025-05-07,16:07:33,2025,5,7,KDEN
BE20,Beech,200T,N120RL,Turboprop,2,43.9091,-88.453106,2025-05-07,16:27:37,2025,5,7,KOSH
C150,Cessna,150L,N11097,Piston,1,33.649454,-84.507826,2025-05-07,22:51:45,2025,5,7,KATL
E135,Embraer Empresa Brasileira De,ERJ 190-100 IGW,N116BZ,Turbofan,2,42.106466,-87.940463,2025-05-08,12:49:04,2025,5,8,KPWK
C140,Cessna,140A,N1104D,Piston,1,44.080152,-88.430564,2025-05-08,14:21:43,2025,5,8,KOSH
C310,Cessna,310H,N1133Q,Piston,2,25.691078,-80.310226,2025-05-09,09:40:06,2025,5,9,KMIA
C182,Cessna,T182T,N111WY,Turboprop,1,39.86316,-104.683853,2025-05-09,12:43:38,2025,5,9,KDEN
BE9L,Beech,E-90,N114WA,Turboprop,2,33.69176,-84.529092,2025-05-09,16:17:20,2025,5,9,KATL
PA46,Piper,PA-46-310P,N111NM,Piston,1,33.762174,-111.87745,2025-05-09,18:34:15,2025,5,9,KSDL
PA18,Piper,PA-18-125,N1048A,Piston,1,28.312186,-81.329603,2025-05-09,22:31:53,2025,5,9,KMCO
C172,Cessna,172G,N1177F,Piston,1,36.219659,-115.271692,2025-05-10,11:38:17,2025,5,10,KLAS
C310,Cessna,310Q,N121DR,Piston,2,33.81938,-118.5565,2025-05-11,17:53:01,2025,5,11,KLAX
M20P,Mooney Aircraft Corp.,M20K,N1169L,Piston,1,33.033666,-97.177415,2025-05-11,19:05:47,2025,5,11,KDFW
PA32,Piper,PA-32-301,N106GW,Piston,1,40.658472,-111.996424,2025-05-12,08:43:21,2025,5,12,KSLC
M20P,Mooney,M20J,N1009C,Piston,1,32.945735,-96.939308,2025-05-12,11:11:09,2025,5,12,KADS
S22T,Cirrus Design Corp,SR22,N101VM,Piston,1,40.800432,-73.298284,2025-05-12,11:37:13,2025,5,12,KFRG
C172,Cessna,R172K,N1159V,Piston,1,28.537566,-81.347273,2025-05-12,12:57:42,2025,5,12,KMCO
M20P,Mooney,M20J,N1139P,Piston,1,40.723781,-73.869163,2025-05-12,19:47:57,2025,5,12,KJFK
PA18,Piper,PA-18A,N11284,Piston,1,39.983046,-104.653126,2025-05-13,12:15:38,2025,5,13,KDEN
A321,Airbus,A321-211,N105DX,Turbofan,2,42.085801,-87.897457,2025-05-13,18:08:00,2025,5,13,KORD
PA18,Piper,PA-18-135,N1136,Piston,1,43.877185,-88.632808,2025-05-13,20:46:06,2025,5,13,KOSH
